Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
add20,2395,14924,16,0,2423,0.026667,2423,0.026667,0.095000,1,16,16,0
astro-ph,16706,242502,16,0,25138,0.028708,25138,0.028708,0.123000,1,16,16,0
auto,448695,6629222,16,0,92419,0.027635,92419,0.027635,0.426000,1,16,16,0
bcsstk33,8738,583166,16,0,59422,0.027422,59422,0.027422,0.122000,1,16,16,0
belgium.osm,1441295,3099940,16,0,820,0.026587,826,0.026521,0.825000,1,16,16,0
citationCiteseer,268495,2313294,16,0,152957,0.016447,152957,0.016447,0.329000,1,16,16,0
cnr-2000,325557,5477938,16,0,6430,0.029831,6430,0.029831,0.292000,1,16,16,0
cond-mat-2005,40421,351382,16,0,37151,0.022161,37151,0.022161,0.199000,1,16,16,0
data,2851,30186,16,0,1260,0.027933,1260,0.027933,0.084000,1,16,16,0
delaunay_n19,524288,3145646,16,0,8807,0.022949,8807,0.022949,0.231000,1,16,16,0
ecology1,1000000,3996000,16,0,8645,0.019408,8645,0.019408,0.311000,1,16,16,0
email,1133,10902,16,0,2203,0.014084,2203,0.014084,0.092000,1,16,16,0
kron_g500-simple-logn16,65536,4912142,16,0,1969998,0.029785,1969998,0.029785,0.595000,1,16,16,0
rgg_n_2_19_s0,524288,6539532,16,0,9109,0.027649,9109,0.027649,0.277000,1,16,16,0
thermal2,1227087,7352268,16,0,13980,0.029442,13980,0.029442,0.425000,1,16,16,0
uk,4824,13674,16,0,191,0.023179,191,0.023179,0.088000,1,16,16,0
