Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,190921,0.029945,190921,0.029945,0.369000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2300754,0.030000,2339252,0.045865,51.872000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,738807,0.029991,892804,0.029671,4.712000,1,16,16,0
del26,67108864,402653086,16,0,108434,0.028223,120563,0.028225,26.038000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,28738562,0.030073,33329721,0.033645,36.650000,1,16,16,0
eu-2005,862664,32276936,16,0,338259,0.029972,338259,0.029972,0.754000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,18114,0.026685,19137,0.026629,11.571000,1,16,16,0
in-2004,1382908,27182946,16,0,25961,0.029989,21086,0.064698,1.982000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5865418,0.029332,7306871,0.029664,28.753000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,241904,0.029996,286436,0.029922,2.258000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,225390,0.029361,240793,0.029369,30.309000,1,16,16,0
sk-2005,50636154,3620126660,16,0,18147677,0.030002,17800138,0.076558,196.995000,1,16,16,0
uk-2002,18520486,523574516,16,0,1575132,0.030003,1609595,0.031807,28.213000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,0,0.000000,889944804,0.144543,0.000000,1,16,16,1
youtube,1134890,5975246,16,0,717318,0.029930,717318,0.029930,0.731000,1,16,16,0
